Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
5641,7,0.308,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",od morn wonder darren margin basis s basis s like bak ation drag deposit pric continue little rate hike rate wonder margin like ation sort margin out baked rate hikes rate cuts forward
8250,2,0.308,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",right lastly earn asset mean cash levels continued come cash average earn assets north s like putt little bond growth bond versus potential shrinkage cash forward
10890,0,0.3056,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",thanks paul ed consumer credit concern cards card losses little manageable notice mentioned built card reserve percent wonder normalization card losses start
6560,4,0.3041,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",od morn s jump minute apologize addressed capital return obviously stock months regulators past hesitancy regulators allow banks special dividends capital return bill sign regulators supportive wrestle versus buy stock elevated prices valuation basis relative special dividend
9533,7,0.3024,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",flipp deposit growth layered deposits institutional deposits corporate deposits retail deposits start little pressure sense institutional deposits wealth management began decline corporate retail strength dynamic begin pressure s typically pressure volumes haven n core deposit base premium liquidity pushed core customers corporate retail pretty persistent mean duration length growth deposits longer probably anticipated
3774,7,0.3015,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", glenn zero deposits little interest bear deposit rates paid basis s hike shift mentioned ed like asia deposits imagine higher rates try figure domestic pressure rates paid
3526,3,0.3011,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",okay helpful loan growth obviously od growth s like anticipat od growth certainly speak optimistically john said decent credit spreads frame little terms appetite demand type growth mean obviously sitt ready sure different performance show little driv favorable loan growth trends
6265,3,0.3011,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",loan growth ary earlier evident s growth engine produce teens growth range loan growth ary earlier evident s growth engine produce teens growth range manag range understand competitive dynamics manage prevent stronger growth
6578,4,0.2992,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", ed scott steve dividend forward consensus estimates definitely plenty room terms dividend coverage common dividend wonder test backward dividend coverage accord accord consensus cover dividend terms average income preferred loss haven tten regulators dividend coverage dfast banks terms dividend coverage terms calculates doesn matter terms dividend sustainability relates coverage
9023,0,0.2986,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",thank second everybody grappl cumulative losses like industry comerica clearly strong history regulatory data correctly cumulative losses cumulative losses wonder carve energy portfolio clearly uniquely stressed od start cumulative losses forward terms type recession impact portfolio
3036,3,0.2976,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",okay helpful loan growth mentioned obviously utilization rates paydowns elevated manage loan growth s parameters fall utilization rates paydowns impacted loan growth normalized level paydowns utilization rates constant impacted loan balances try ths normalize tailwind forward
3274,7,0.2962,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thanks quick s od controll deposit costs higher rates n deposit costs com cutt rates wonder total deposit cost basis s room left lower deposit cost
528,0,0.2944,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",s n companies report huge provisions build reserves cited unemployment data projections late april s generally conservative credit wouldn necessarily reserve bill curious metrics specifically determine reserve built n release increase payment deferral request second means reserve build pushed feel like accounted provision allocation
3018,0,0.294,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay appreciate granularity provided deck relates exposure risk early inns uncertainty curious provide little detail terms internal stress test loss content assumed challenged buckets
411,7,0.2922,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", ed start terms margin out obviously called items core deposit costs fund debt cost went ations core margin beckon phonetic sort rate afternoon deposit rates debt cost trend lower drift higher
12049,0,0.2922,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",mark n od detail consumer portfolios share commercial rats terms investment grade haven moved fourth share portfolios energy portfolios leisure hospitality travel portfolio ones risk risk terms credit losses months
459,6,0.2917,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",expense out idea indicated fourth expenses level try understand magnitude decline previous ation second half expenses similar half imply holds imply pretty sharp drop fourth idea type decline thanks
9300,3,0.2917,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",s wonder pace loan growth business lines drive drivers growth chang versus months obviously commercial industry slowed temporary pace drivers loan growth thanks
3456,7,0.2908,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", thesis banks accelerated deposit cost like citizens thesis interest margin scenario forward curve includes rate cuts interest margin potentially stabilize increase ly basis deposit cost pric robust wonder optimistic thought process based mechanics walked possible citizens
3146,3,0.2905,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention", ed remarks context operat leverage line core tenet investment case ability deliver sustained positive operat leverage slide actually showcases n current out loan deposit growth ations expenses increase remainder confident n guidance ability continue momentum deliver positive operat leverage absence higher rates
12302,2,0.29,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",thanks paul everybody flatness yield curve month ed deploy little cash yield curve actually pretty advantageous duration pick basis s deploy liquidity
7855,1,0.2898,"term, market, business, change, mortgage, long, customer, month, sale, strategy",jamie hop update efforts launch online brokerage offer mentioned letter comes investors view opportunities business effort build moat current client cash balances fill void intention disruptive space actually attract customers potentially offer aggressive pric terms
9862,4,0.2898,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",s obviously ary strong capital generate capital like uses capital buybacks dividends potential users mean pretty clear feel bank deals loan portfolios n branch divestitures people deals acquir technologies deal opportunities portfolio options thanks
387,3,0.2897,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention", start loan growth mentioned sennt pick paydowns slow guidance loan growth pretty tepid flat sle digit pace n runoff mortgages course s ed fairly weak stronger half pickup try sense trend line ations loan growth industry loan growth probably imagine pretty weak overall
11103,7,0.289,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay vince vince margin minute repric earn assets deposit mean fair increases rate decreases moderation decline margin moderate rate cuts deposit higher rate cuts fair sure pric dynamics loans versus deposits initially catches like allow degregation margin moderate wrong 
8926,1,0.2884,"term, market, business, change, mortgage, long, customer, month, sale, strategy", trade basically offense versus defense tone send company offense long term market share help vernment solution like money market help expands balance sheet gain share versus smaller competitors little extra defense short term hunkered live fight like employees buy stock clients mak money liv trade unusual world
9133,7,0.287,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", margin valerie said basis s basis s rate second later ations remind hedge interest rate kicks possible deposit costs essentially hav peak said actually start margin stabilized increase thanks core basis
574,7,0.2865,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",ed start margin mly pause foreable future n real change rate environment margin stable couple s guided little additional pressure assumed potentially rate start core margin exclusive purchase account accretion federal reserve dividend remind items layer core margin starts
6254,0,0.2864,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",mark gave od detail slides ed commercial portfolio wholesale portfolio showed migration trends share percentage corporate portfolio reviewed downgraded second need review portfolio potential future upgrades downgrades portfolio
2555,0,0.2861,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",ed matt deferrals thoughts reserve builds forward mean larger ed build modest credit migration estimate heavy lift like probably start gett redeferrals risk rat downgrades modest builds second half reserve
8765,7,0.2861,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",s margin s interest bear deposit reported component margin pressure deposit costs assume noninterest bear comes fourth assum stay flat second inflection interest bear deposit cost start come
1625,7,0.2857,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay stick deposits certainly encourag drop fund costs prior conversations s proactive address deposit rates right impact reflected fourth results forward proactive approach reduce ability lower deposit costs additional rate cuts similar magnitudes incremental rate
7667,7,0.2857,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", circl fund cost funds acceleration deposit cost decline especially continue exit higher cost funds transactional pric comes step replace fhlb extend duration short term replacement higher cost funds
5634,4,0.2855,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",bill separate topic combined capital capital combined company kelly said earlier today board decided hold initially obviously optimized capital suntrust asked like opportunity br confidence integration completed successfully thoughts little terms capital capital combined company wouldn need access stand
7582,6,0.2849,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay expenses second came lower maintain expense guidance assume pretty jump expenses second half chance expenses expense growth come little lower guidance
6663,0,0.2845,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",rahul patil behalf john revisit discussion reserve level cumulative loss dfast results billion losses projections s believe billion losses model reserve right stands billion sense portion accumulative losses assum right siz current reserve level potential incremental reserve builds com s
3928,0,0.2843,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",on concerns market credit risk details provide today alleviate concerns enter credit cycle chance credit worse obviously estimates internally better peers s couple s metrics evaluate credit performance versus sounds like obvious obviously payment deferrals straightforward traditional trends wonder frame
519,7,0.284,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",tcha aside balance changes deposit competition deposit cost obviously deposit s n discussions hav n banks heard increased deposit competition need increase deposit cost stay competitive ations fairly unchanged terms benefit basis rate hike ations presumed ation sounds like little increased pressure deposit costs
5065,0,0.2829,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",right help reserve level half publicly disclosed company stress tests help triangulate reserve coverage stands versus stress loss estimate macro assumptions dial stimulus attribute difference
5327,0,0.2826,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay helpful ed touch redeferral rates appreciate ary prepared remarks s like turn peak decent redeferrals resi case case basis deferrals start expire early read commercial conversations requir additional collateral personal guarantees lastly implications redeferrals come potential risk rat downgrades negative credit migration thoughts reserve builds forward
2302,0,0.282,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",s thanks tak afternoon struck difference utilization customer assistance programs auto card reflection current environment utility credit card versus utility card function amortiz nature auto loans versus minimum payment ability card
74,3,0.2812,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention", wonder loan growth terms demand trends mentioned commercial late pickup wonder attribute capital markets weaken underneath core commercial demand overall feel loan growth prospects head plus little responsible growth
6641,1,0.2812,"term, market, business, change, mortgage, long, customer, month, sale, strategy",od thank probably early play winners losers reform changes terms come market come market written obviously impact high states money flow obviously high states states try tweak business model focus products markets
306,0,0.2811,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",morn everybody ed start reserves reserve build fairly aggressive terms reserve cover dfast losses peers banks risk sizable reserve increase n out economy worsened s horizon risk feel like assumptions harsh tten ahead curve
3310,7,0.2807,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", margin margin like core margin basis impact liquidity jack said basis linked decline fund costs probably sounds like probably core margin start fair
1129,4,0.2805,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",helpful different bill biden victory month political environment potentially bank deals influence appetite larger deal pursue smaller bank deals n possibly view buybacks attractively thoughts
8569,2,0.2805,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay glenn bigger picture securities portfolio obviously pretty asset s earn assets nice yield curve remain flat yields start roll strategy terms balances concentration shrink
8965,7,0.2801,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", everybody s asked earlier ability pause mean mentioned paul depends forward curve ability deposit rates risk effect deposit rates specifically retail deposit rates haven moved rate tighten cycle risk environment pause economy lagged effect start deposit cost pressure retail n
11543,0,0.2797,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay wander comes s frequently dumbed example s marks absorb credit helps idea write marked loan mark smaller loan writ opposed smaller charge like mechanic work help absorb losses marks
451,3,0.2796,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",extremely helpful appreciate remarks head queue loan growth ed past sle digit loan growth sustainable target core businesses steady trend n s commercial slow alluded wonder committed deliver sle digit loan growth sustainable target view
7006,4,0.279,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",ed capital discussion appreciate little capital integrations post integration confident execution integration direct peers n yesterday similar bank size ed br range wonder thoughts medium term post deal integration on target
5231,4,0.2789,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",basic efficiency target instead additional tailwinds rates revenues regulation away bill efficiency ratio percentage s heard said improved percentage improve percentage certainly right direction like ed gett s reinvestment list investments counted different areas invest based said
467,2,0.2788,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay right perfect thank size balance sheet accustomed s generat like teen increase base earn assets little nuance sort earn assets fourth s like typical trajectory basis s couple s imply strong acceleration balance sheet growth second fourth right n happened fourth likely happen size balance sheet muted terms overall balance sheet growth
1487,0,0.2788,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", br thank mark ed clarify statement card losses ed sure interpret correctly said losses today cumulative losses today lower global financial crisis experience regulatory data loss rate ed sure interpret correctly losses card cumulative loss scenario line company dfast stress test
4170,4,0.2782,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", s capital return confusion treat press investors putt financials template john ed clarify said capital return likely meet ations consensus billion right capital return potentially meet
8131,2,0.2782,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",like forma earn assets earn assets balance sheet try sense terms size balance sheet ths added
2162,0,0.2774,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", mean cycle cecl reserves built supposed charge assumes charge aren level reserves right like charge offs macro environment continues worse reserves wonder like little coincidence terms reserves charge offs cecl assume like half example charge offs like reserves confident macro worsen reserve right
9721,0,0.2774,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",great thanks break reserve build came sort deeper dive credit review versus actual deterioration portfolio n sectors like restaurant energy stuff wouldn surprised deeper review
10447,2,0.2774,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay od helpful ed monthly production average million december little bigger compare ed fairly ratable balance sheet size increased curious s pipelines today little geography size type different merger closed makes sense
11718,3,0.2765,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",technical issues deposit growth private n technical issues little product technical issues catery differentiated little technical issues growth rate mean tremendous growth past couple technical issues
1328,7,0.276,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay makes sense deposit mean margin guide super helpful rate totally makes sense quickly able push deposit cost mean matur makes sense million reprice core deposits netiated rates traction gett deposits br deposit cost
1641,7,0.2751,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",right gett od growth od th short curve rate sensitivity s short changed past despite multiple rate hikes reflective experience types deposits attract lower rate initially thought little sensitivity short rate hikes n
9893,7,0.275,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay mentioned shift interest bear deposits continue shift continue drive deposit costs higher interest bear deposit costs stabilized basis level n migration
1403,4,0.2747,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",right helpful finally buyback repurchased little company price share s like repurchase late legacytexas deal announced thoughts future buybacks forward half 
6998,2,0.2738,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow", fair thanks balance sheet watch loan growth terms pric obviously loan growth slower initially ed haven n growth buckets cash balances continue build securities pretty stable earn asset forward little loan growth start cash loan start securities n finally steeper yield curve usage excess cash build weigh
2698,4,0.2735,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",indecipherable start buyback s pretty consistently repurchased company s s buy stock stock today probably higher level repurchased ask basically buybacks half continue active stock trad trad buyback little attractive
4307,7,0.2735,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay helpful switch margin n strong inflow coupled nearly billion roll repric fund costs actually lower basis case margin compression cuts solely driven asset dynamic miss additional fund costs
443,3,0.273,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention", loan growth ncino kick loan growth noticed presentation mentioned broad based sense loan growth sustainable gett downs heard downs slowed try understand feel pickup demand client reduction competition legs trends thanks
1976,0,0.273,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", bryan s relative like provided details portfolio like like level comfort portfolio took bank came bank crisis cleanup portfolio realistic risk losses exceed severe loss estimates s able earn million instead million reserved today terms portfolio confidence like probably high watermark losses
7716,7,0.2728,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",od morn s little interest bear deposits levels represent total interest bear liabilities ris rate environment settle prior financial crisis levels risk everybody ris rate environment deposits tend fall
12294,7,0.2727,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",od shift deposit s chairman greenspan shifted policy interest rates rais rates cutt rates months chairman powell decides fund rates fall futures markets suggest quickly deposit s start fall reduc short term rates
2148,0,0.2724,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", quick consumer delinquencies obviously impact deferral programs delinquencies actually delinquencies actually deferral programs doesn like stress early stage delinquencies attribute deferral programs
7623,7,0.2724,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thank apologize share ed ation interest bear deposit accounts draw rates higher everybody industry tighten cycle basis s suntrust interest bear deposits total deposits declined structural difference today decline material rates couple basis s months
11070,7,0.2724,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", broadly deposit pric mentioned change sort yield curve rate out right impacted bank overall interest margin ations ation terms deposit costs competitors sort rain deposit pric pressures s shifts deposits deposit pressure balance thanks
12552,7,0.2721,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",kevin appreciate margin components earn asset yield ation fund offset ation try square improvement cost funds s help drive deposit growth brokered period basis million gave cost million short term borrows million period basis headwind drive offset repric lower core deposit growth com help decline
2915,1,0.2718,"term, market, business, change, mortgage, long, customer, month, sale, strategy",od hear subject jenni brought large mergers present market disruption opportunity n terms hir course large degree entail near term expenses longer term production revenues com participate
11030,4,0.2718,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",yeah od s target efficiency ratio mentioned return tangible common equity ratio earlier s today competitors started inroads br ratios roadmap br focus folks hope br course drive profitability higher
2110,7,0.2713,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay right margin exclud basis impact process change flat despite on hike asset sensitivity mean type progression margin rate assumption hike play margin stops hike incremental expansion near term flat
7544,1,0.2713,"term, market, business, change, mortgage, long, customer, month, sale, strategy",od morn mentioned impact reform different businesses growth stand potential competition uncertain terms impacts different businesses different products little speak products businesses scope competition scope competition influence invest different businesses
8648,7,0.2713,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",od morn eric out stop mean historically state street n leverage stops assets reprice deposit s typically deposit repric stopped pretty quickly high deposit s rate hikes stop sounds like didn reinforce view changed deposit pric stops n securities portfolio yield treasury securities yield grind little higher stops thoughts
3408,7,0.2711,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",helpful steve margin clear assume october december rate guidance implied phonetic plus minus margin fourth out forward n dynamic terms deposit shift like defend margin despite additional rate cuts need rate cuts stop margin drops
11890,1,0.2709,"term, market, business, change, mortgage, long, customer, month, sale, strategy",ed solution center expansion understand thought process little thought s market digital expansion called experiment expand market solution centers solution centers need markets critical mass necessary
4285,3,0.2704,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",ed remarks mortgage business healthy decline resi mortgage loans marianne spoke investor balance sheet optimization strategy drive growth securities versus loans wonder driv slowdown resi loan growth broadly core loan growth sustainable pace core loan growth
6587,4,0.2704,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",simple dollar tech spend investment spend compare com backdrop efficient tten s efficiency worse fourth efficiency banks target like spend money slide ed spend pay wrapper spend analysts figure core efficiency level
9854,0,0.27,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",quick cecl longer recovery shaped recovery helpful reference s allowance product type reserve build spread consumer commercial segments vulnerable reserve true loan little different peers loan types longer weighted average remain maturities n loss content higher reserve curious like sort evolution reserve rates build greater reserves
8301,2,0.2698,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",marianne ed discussion access liquidity management appreciate fact s certainly conservative duration tak holistic view asset balance sheet disclosures n stark contrast terms parked excess reserves relatively levels compared peers duration management additional capacity remix cash higher yield especially balance sheet dynamics
5541,7,0.2693,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",curt ed start continues drift lower revenue sustained pressure funds rates stabilizes s rates higher start paid deposit base picture view driv shareholder value prolonged environment rates
10040,2,0.2693,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",makes sense average earn assets obviously ed movement trust deposits ation today said average long growth flat slightly average earn assets flat 
2706,1,0.2691,"term, market, business, change, mortgage, long, customer, month, sale, strategy",intrigued s million millennial customers billion deposits disclosed information growth rate profitability customers millennial customer assumption long customers younger digital bank assume s instead s change price products millennial customer
1531,0,0.269,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",thank reserve build s moderated forecast late late recent forecast build reserve s n reserve build moderated feel like deferrals gett decent news feel like reserve builds heavy lift tough answer changes n deferrals lower reserve build feels like s heavy lift 
7329,0,0.2684,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", credit obviously od s credit quality noticed nice material decline wholesale perform assets brought concerns energy portfolio material concerns energy credits
